,country,url,views
0,Switzerland,https://www.youtube.com/watch?v=bpM6o6UiBIw&ab_channel=EurovisionSongContest,141930.0
1,Estonia,https://www.youtube.com/watch?v=QC06nyML2xg&ab_channel=EurovisionSongContest,27213.0
2,Russia,https://www.youtube.com/watch?v=l01wa2ChX64&ab_channel=EurovisionSongContest,365327.0
3,Austria,https://www.youtube.com/watch?v=1sY76L68rfs&ab_channel=EurovisionSongContest,109948.0
4,Australia,https://www.youtube.com/watch?v=ghT5QderxCA&ab_channel=EurovisionSongContest,125130.0
5,Ukraine,https://www.youtube.com/watch?v=U7-dxzp6Jvs&ab_channel=EurovisionSongContest,327978.0
6,Spain,https://www.youtube.com/watch?v=qb5FXBwSx44&ab_channel=EurovisionSongContest,80860.0
7,Denmark,https://www.youtube.com/watch?v=axzrdVUdQzQ&ab_channel=EurovisionSongContest,67522.0
8,Cyprus,https://www.youtube.com/watch?v=mk4amZlPa4g&ab_channel=EurovisionSongContest,225800.0
9,San Marino,https://www.youtube.com/watch?v=eRAN7AzEKak&ab_channel=EurovisionSongContest,437744.0
10,Portugal,https://www.youtube.com/watch?v=2hAlp3Khsnk&ab_channel=EurovisionSongContest,129144.0
11,Serbia,https://www.youtube.com/watch?v=FSTMz-_kbVQ&ab_channel=EurovisionSongContest,2414041.0
12,The Netherlands,https://www.youtube.com/watch?v=p4Fag4yajxk&ab_channel=EurovisionSongContest,288422.0
13,Moldova,https://www.youtube.com/watch?v=1zvnsvxA3to&ab_channel=EurovisionSongContest,710342.0
14,Romania,https://www.youtube.com/watch?v=TkRAWrDdNwg&ab_channel=EurovisionSongContest,558138.0
15,Belgium,https://www.youtube.com/watch?v=0EQyG1Yjlgw&ab_channel=EurovisionSongContest,442611.0
16,Albania,https://www.youtube.com/watch?v=Q4D_RfEFwd4&ab_channel=EurovisionSongContest,314956.0
17,Slovenia,https://www.youtube.com/watch?v=p5LW-09r2JQ&ab_channel=EurovisionSongContest,577353.0
18,Ireland,https://www.youtube.com/watch?v=z6ZUBzqPxds&ab_channel=EurovisionSongContest,480771.0
19,Germany,https://www.youtube.com/watch?v=ydgxZnHFLi4&ab_channel=EurovisionSongContest,817826.0
20,Finland,https://www.youtube.com/watch?v=cIvaeu6Oxzc&ab_channel=EurovisionSongContest,614106.0
21,Norway,https://www.youtube.com/watch?v=bp2kfhuv8ZU&ab_channel=EurovisionSongContest,905549.0
22,Czech Republic,https://www.youtube.com/watch?v=Kxa3ZtxIdxQ&ab_channel=EurovisionSongContest,365851.0
23,Croatia,https://www.youtube.com/watch?v=lT277q29VpE&ab_channel=EurovisionSongContest,1819501.0
24,France,https://www.youtube.com/watch?v=-9t_SwPN31s&ab_channel=EurovisionSongContest,458002.0
25,Lithuania,https://www.youtube.com/watch?v=0rsUJWSwb0c&ab_channel=EurovisionSongContest,925910.0
26,Israel,https://www.youtube.com/watch?v=opmTs9uvENI&ab_channel=EurovisionSongContest,807080.0
